function,resource_type,serial,pad,resource_group,protocol,stage,pad_exposed,evidence_state,source_url,notes
ELRS/CRSF receiver,uart,SERIAL6,UART6,,CRSF,STAGE_1,yes,CONFIRMED,https://ardupilot.org/sub/docs/common-holybro-kakuteh7mini-v13.html,Full duplex RC and telemetry; SERIAL6_PROTOCOL=23
Matek 3901-L0X flow+lidar,uart,SERIAL4,UART4,,MSP_V2,STAGE_1,yes,CONFIRMED,https://www.mateksys.com/?portfolio=3901-l0x,One UART carries both optical flow and rangefinder; SERIAL4_PROTOCOL=32
Nicla Vision MAVLink,uart,SERIAL2,UART2,,MAVLINK2,STAGE_1,yes,CONFIRMED,https://docs.arduino.cc/resources/datasheets/ABX00051-datasheet.pdf,Nicla exposes one level-translated UART; configure VDDIO_EXT=3.3 V and share ground
GPS,uart,SERIAL3,UART3,,GPS,STAGE_2_RESERVED,yes,CONFIRMED,https://ardupilot.org/sub/docs/common-holybro-kakuteh7mini-v13.html,Reserved; UART3 is the ArduPilot default GPS port
FPV/VTX control,uart,SERIAL1,UART1,,VTX_CONTROL,STAGE_2_RESERVED,yes,CONFIRMED,https://ardupilot.org/sub/docs/common-holybro-kakuteh7mini-v13.html,Reserved; default DJI/OSD serial allocation may be changed if needed
ESC telemetry,uart_rx,SERIAL7,UART7_RX,,ESC_TELEMETRY,OPTIONAL,yes,CONFIRMED,https://ardupilot.org/sub/docs/common-holybro-kakuteh7mini-v13.html,Receive-only; unnecessary when bidirectional DShot RPM telemetry is available
Configuration/diagnostics,usb,SERIAL0,USB,,USB,STAGE_1,yes,CONFIRMED,https://ardupilot.org/sub/docs/common-holybro-kakuteh7mini-v13.html,Bench configuration and log download
Motor 1,motor_output,,M1,PWM_GROUP_1,DSHOT,STAGE_1,yes,CONFIRMED,https://ardupilot.org/sub/docs/common-holybro-kakuteh7mini-v13.html,M1 and M4 share a timer group and must use the same output protocol/rate
Motor 2,motor_output,,M2,PWM_GROUP_2,DSHOT,STAGE_1,yes,CONFIRMED,https://ardupilot.org/sub/docs/common-holybro-kakuteh7mini-v13.html,M2 and M3 share a timer group and must use the same output protocol/rate
Motor 3,motor_output,,M3,PWM_GROUP_2,DSHOT,STAGE_1,yes,CONFIRMED,https://ardupilot.org/sub/docs/common-holybro-kakuteh7mini-v13.html,M2 and M3 share a timer group and must use the same output protocol/rate
Motor 4,motor_output,,M4,PWM_GROUP_1,DSHOT,STAGE_1,yes,CONFIRMED,https://ardupilot.org/sub/docs/common-holybro-kakuteh7mini-v13.html,M1 and M4 share a timer group and must use the same output protocol/rate
Status LED,led_output,,LED,PWM_GROUP_5,NEOPIXEL,STAGE_1,yes,CONFIRMED,https://ardupilot.org/sub/docs/common-holybro-kakuteh7mini-v13.html,Dedicated output 9; does not collide with motor timer groups
Buzzer,gpio,,BUZZER,,ACTIVE_LOW,STAGE_1,yes,CONFIRMED,https://docs.holybro.com/autopilot/kakute-h7-v1-v2-mini/kakute-h7-mini/pinout,Dedicated buzzer pads
